avg_odds,bets_with_units,by_market,display_pair,expert_a,expert_b,losses,n,net_units,odds_count,odds_sum,pushes,roi,split_count,total_stake,units_missing_count,wilson_lower,win_pct,wins
,0,"{""player_prop"": {""losses"": 1, ""n"": 2, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}}",TyRo24 [bettingpros_experts] + parkerpaduck [bettingpros_experts],TyRo24 [bettingpros_experts],parkerpaduck [bettingpros_experts],1,2,0.0,0,0.0,0,,1,0.0,2,0.0945,0.5,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",allcylinderscars [bettingpros_experts] + parkerpaduck [bettingpros_experts],allcylinderscars [bettingpros_experts],parkerpaduck [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",bettor69377 [bettingpros_experts] + severianosmith [bettingpros_experts],bettor69377 [bettingpros_experts],severianosmith [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",bettor73790 [bettingpros_experts] + xwq9tqbk8d [bettingpros_experts],bettor73790 [bettingpros_experts],xwq9tqbk8d [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}}",chefpadro74 [bettingpros_experts] + mullinsjeff76 [bettingpros_experts],chefpadro74 [bettingpros_experts],mullinsjeff76 [bettingpros_experts],0,2,0.0,0,0.0,0,,0,0.0,2,0.3424,1.0,2
,0,"{""player_prop"": {""losses"": 2, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",chefpadro74 [bettingpros_experts] + primetime897 [bettingpros_experts],chefpadro74 [bettingpros_experts],primetime897 [bettingpros_experts],2,2,0.0,0,0.0,0,,0,0.0,2,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 2, ""n"": 2, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",craig.r.trujillo [bettingpros_experts] + parkerpaduck [bettingpros_experts],craig.r.trujillo [bettingpros_experts],parkerpaduck [bettingpros_experts],2,2,0.0,0,0.0,0,,0,0.0,2,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 2, ""n"": 2, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",gordyscott88 [bettingpros_experts] + parkerpaduck [bettingpros_experts],gordyscott88 [bettingpros_experts],parkerpaduck [bettingpros_experts],2,2,0.0,0,0.0,0,,1,0.0,2,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",1979jbusy [bettingpros_experts] + Bdodson420 [bettingpros_experts],1979jbusy [bettingpros_experts],Bdodson420 [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",1979jbusy [bettingpros_experts] + JayFish004 [bettingpros_experts],1979jbusy [bettingpros_experts],JayFish004 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",1979jbusy [bettingpros_experts] + Prop Bet Guy [sportsline],1979jbusy [bettingpros_experts],Prop Bet Guy [sportsline],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",1979jbusy [bettingpros_experts] + Propmaster71 [bettingpros_experts],1979jbusy [bettingpros_experts],Propmaster71 [bettingpros_experts],0,1,0.0,0,0.0,0,,1,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",1979jbusy [bettingpros_experts] + TheDevil [bettingpros_experts],1979jbusy [bettingpros_experts],TheDevil [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",1979jbusy [bettingpros_experts] + allcylinderscars [bettingpros_experts],1979jbusy [bettingpros_experts],allcylinderscars [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",1979jbusy [bettingpros_experts] + craig.r.trujillo [bettingpros_experts],1979jbusy [bettingpros_experts],craig.r.trujillo [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",1979jbusy [bettingpros_experts] + jjead76 [bettingpros_experts],1979jbusy [bettingpros_experts],jjead76 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",1979jbusy [bettingpros_experts] + jjead76 [bettingpros_experts],1979jbusy [bettingpros_experts],jjead76 [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Alex Selesnick [sportsline] + KD850 [bettingpros_experts],Alex Selesnick [sportsline],KD850 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Alex Selesnick [sportsline] + Larry Hartstein [sportsline],Alex Selesnick [sportsline],Larry Hartstein [sportsline],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Alex Selesnick [sportsline] + Prop Bet Guy [sportsline],Alex Selesnick [sportsline],Prop Bet Guy [sportsline],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Bdodson420 [bettingpros_experts] + Fizzy78 [bettingpros_experts],Bdodson420 [bettingpros_experts],Fizzy78 [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Bdodson420 [bettingpros_experts] + Propmaster71 [bettingpros_experts],Bdodson420 [bettingpros_experts],Propmaster71 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 2, ""pushes"": 1, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Bdodson420 [bettingpros_experts] + jjead76 [bettingpros_experts],Bdodson420 [bettingpros_experts],jjead76 [bettingpros_experts],0,2,0.0,0,0.0,1,,0,0.0,2,0.2065,1.0,1
,0,"{""spread"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Bob Konarski [sportsline] + Fizzy78 [bettingpros_experts],Bob Konarski [sportsline],Fizzy78 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Buckets Podcast [action] + Jim Turvey [action],Buckets Podcast [action],Jim Turvey [action],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Fizzy78 [bettingpros_experts] + Larry Hartstein [sportsline],Fizzy78 [bettingpros_experts],Larry Hartstein [sportsline],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Fizzy78 [bettingpros_experts] + TheDirtyDs2988 [bettingpros_experts],Fizzy78 [bettingpros_experts],TheDirtyDs2988 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Fizzy78 [bettingpros_experts] + TyRo24 [bettingpros_experts],Fizzy78 [bettingpros_experts],TyRo24 [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Fizzy78 [bettingpros_experts] + bettor73790 [bettingpros_experts],Fizzy78 [bettingpros_experts],bettor73790 [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Fizzy78 [bettingpros_experts] + chefpadro74 [bettingpros_experts],Fizzy78 [bettingpros_experts],chefpadro74 [bettingpros_experts],0,1,0.0,0,0.0,0,,1,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",KD850 [bettingpros_experts] + Kev [bettingpros_experts],KD850 [bettingpros_experts],Kev [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",KD850 [bettingpros_experts] + Mike Barner [sportsline],KD850 [bettingpros_experts],Mike Barner [sportsline],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",KD850 [bettingpros_experts] + Mr. B [bettingpros_experts],KD850 [bettingpros_experts],Mr. B [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",KD850 [bettingpros_experts] + Prop Bet Guy [sportsline],KD850 [bettingpros_experts],Prop Bet Guy [sportsline],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",KD850 [bettingpros_experts] + TheDevil [bettingpros_experts],KD850 [bettingpros_experts],TheDevil [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",KD850 [bettingpros_experts] + TheDevil [bettingpros_experts],KD850 [bettingpros_experts],TheDevil [bettingpros_experts],1,1,0.0,0,0.0,0,,1,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",KD850 [bettingpros_experts] + TheDirtyDs2988 [bettingpros_experts],KD850 [bettingpros_experts],TheDirtyDs2988 [bettingpros_experts],0,1,0.0,0,0.0,0,,1,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",KD850 [bettingpros_experts] + TyRo24 [bettingpros_experts],KD850 [bettingpros_experts],TyRo24 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",KD850 [bettingpros_experts] + Zack Cimini [sportsline],KD850 [bettingpros_experts],Zack Cimini [sportsline],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",KD850 [bettingpros_experts] + akelder15 [bettingpros_experts],KD850 [bettingpros_experts],akelder15 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",KD850 [bettingpros_experts] + allcylinderscars [bettingpros_experts],KD850 [bettingpros_experts],allcylinderscars [bettingpros_experts],0,1,0.0,0,0.0,0,,1,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",KD850 [bettingpros_experts] + bettor69377 [bettingpros_experts],KD850 [bettingpros_experts],bettor69377 [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",KD850 [bettingpros_experts] + carmenciorra [bettingpros_experts],KD850 [bettingpros_experts],carmenciorra [bettingpros_experts],0,1,0.0,0,0.0,0,,1,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",KD850 [bettingpros_experts] + dylanmccaffrey [bettingpros_experts],KD850 [bettingpros_experts],dylanmccaffrey [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",KD850 [bettingpros_experts] + gordyscott88 [bettingpros_experts],KD850 [bettingpros_experts],gordyscott88 [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",KD850 [bettingpros_experts] + gordyscott88 [bettingpros_experts],KD850 [bettingpros_experts],gordyscott88 [bettingpros_experts],1,1,0.0,0,0.0,0,,1,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",KD850 [bettingpros_experts] + jacobparchert [bettingpros_experts],KD850 [bettingpros_experts],jacobparchert [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",KD850 [bettingpros_experts] + johnmorrow [bettingpros_experts],KD850 [bettingpros_experts],johnmorrow [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",KD850 [bettingpros_experts] + parkerpaduck [bettingpros_experts],KD850 [bettingpros_experts],parkerpaduck [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",KD850 [bettingpros_experts] + rose0086 [bettingpros_experts],KD850 [bettingpros_experts],rose0086 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Kev [bettingpros_experts] + rose0086 [bettingpros_experts],Kev [bettingpros_experts],rose0086 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Larry Hartstein [sportsline] + Zack Cimini [sportsline],Larry Hartstein [sportsline],Zack Cimini [sportsline],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Larry Hartstein [sportsline] + allcylinderscars [bettingpros_experts],Larry Hartstein [sportsline],allcylinderscars [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Matt Severance [sportsline] + Mike Barner [sportsline],Matt Severance [sportsline],Mike Barner [sportsline],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Matt Severance [sportsline] + Stephen Oh [sportsline],Matt Severance [sportsline],Stephen Oh [sportsline],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Matt Severance [sportsline] + jjead76 [bettingpros_experts],Matt Severance [sportsline],jjead76 [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""spread"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Micah Roberts [sportsline] + mypickswithnoresearch [bettingpros_experts],Micah Roberts [sportsline],mypickswithnoresearch [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Miguel [bettingpros_experts] + craig.r.trujillo [bettingpros_experts],Miguel [bettingpros_experts],craig.r.trujillo [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Miguel [bettingpros_experts] + mullinsjeff76 [bettingpros_experts],Miguel [bettingpros_experts],mullinsjeff76 [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Miguel [bettingpros_experts] + parkerpaduck [bettingpros_experts],Miguel [bettingpros_experts],parkerpaduck [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Mike Barner [sportsline] + Propmaster71 [bettingpros_experts],Mike Barner [sportsline],Propmaster71 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Mike Barner [sportsline] + akelder15 [bettingpros_experts],Mike Barner [sportsline],akelder15 [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Pana10 [bettingpros_experts] + gordyscott88 [bettingpros_experts],Pana10 [bettingpros_experts],gordyscott88 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Prop Bet Guy [sportsline] + chefpadro74 [bettingpros_experts],Prop Bet Guy [sportsline],chefpadro74 [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Propmaster71 [bettingpros_experts] + craig.r.trujillo [bettingpros_experts],Propmaster71 [bettingpros_experts],craig.r.trujillo [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Propmaster71 [bettingpros_experts] + gordyscott88 [bettingpros_experts],Propmaster71 [bettingpros_experts],gordyscott88 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Propmaster71 [bettingpros_experts] + gordyscott88 [bettingpros_experts],Propmaster71 [bettingpros_experts],gordyscott88 [bettingpros_experts],1,1,0.0,0,0.0,0,,0,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 1, ""n"": 1, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Propmaster71 [bettingpros_experts] + jjead76 [bettingpros_experts],Propmaster71 [bettingpros_experts],jjead76 [bettingpros_experts],1,1,0.0,0,0.0,0,,1,0.0,1,0.0,0.0,0
,0,"{""player_prop"": {""losses"": 0, ""n"": 1, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Propmaster71 [bettingpros_experts] + johnmorrow [bettingpros_experts],Propmaster71 [bettingpros_experts],johnmorrow [bettingpros_experts],0,1,0.0,0,0.0,0,,0,0.0,1,0.2065,1.0,1
